Place,Team,Score
1,Icey Bois,4076
2,A Flock of Joeys,3002
3,Team hackers,2209
4,Bustd0wn,2182
5,LHS_CTF_Team,2051
6,Winner65,1894
7,bam,1704
8,Morpheus,1666
9,RCEZbiłg,1584
10,K-Dawg and the Funky Bunch,1535
11,SudoMan,1492
12,troyctf,1237
13,Breach251,937
14,CyberYoddha,928
15,Code Red,783
16,Eleven,753
17,TesterTeam,734
18,Cyber Squad,682
19,mangobutta,662
20,hello,578
21,Breach252,568
22,The Code Breakers,515
23,ObsoleteK,503
24,KG,486
25,appldroid,442
26,Not The NSA,438
27,Ctrl + Alt + Destroy,397
28,AFruitBowl,383
29,Loopback,342
30,pledabbers,333
31,ntkrnlmp.exe,317
32,AOR,308
33,team,302
34,foo'); DROP TABLE users; --,301
35,Pewdiepie is still better than T-Series,275
36,hyper,267
37,WinRAR Free Trial,258
38,Patrick Henry High School Cyber Team 1,253
39,Group 1 :),248
40,Team Space,244
41,digiorno,238
42,qwerty,236
43,IDontFeelSoGood,231
44,dd,197
45,union,178
46,1234,177
47,Caramona_Team,172
48,SconesnBones,158
49,CyberCadets,151
50,dummy_team,151
51,belashe,132
52,bedwetter4lyfe,130
53,TheSniffer,122
54,xxxBangerBrothersxxx,118
55,SantaTCP,101
56,TeamSolo,72
57,WarpedNova,67
58,MEPT,67
59,Microsoft Tech Support,52
60,mojeanmac,43
61,CyberSharks,42
62,keyboardkrackers,37
63,Schrödinger's Cats,30
64,<Hackers>,25
65,hieveryone,22
66,TrollzSec,20
67,pencil capp,17
68,teeem1,17
69,Brommom,17
70,SGM,15
71,CTF Wanderers,5
72,Dream Team,2
73,Danick7717,2
74,lucas_and_pals,2
75,galad,2
76,whyamialone,2
